Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    132.351,   153.36,     132.35,    33.36,     132.35,   -86.64,          0,     0.00, 0.00532513,   149.12,    132.351,   -26.64,     132.35,  -146.64,     132.35,    93.36,          0,     0.00, 0.00532513,   -30.88
Transformer.T32,    1.58289,   -26.57,    1.58289,  -146.57,    1.58289,    93.43,          0,     0.00, 1.3483E-012,    38.26,    97.0766,   125.49,    97.0764,     5.49,    97.0761,  -114.51, 0.000802648,  -100.65, 1.46942E-011,    62.84
Transformer.T33,    1.58363,   -26.58,    1.58363,  -146.58,    1.58363,    93.42,          0,     0.00, 1.45889E-012,    37.68,    97.1241,   125.49,     97.124,     5.49,    97.1236,  -114.51, 0.000872165,  -100.69, 1.55152E-011,    65.31
Transformer.T34,    2.63983,   -26.58,    2.63983,  -146.58,    2.63983,    93.42,          0,     0.00, 2.47131E-012,    38.29,    161.901,   125.48,    161.901,     5.48,    161.901,  -114.52, 0.00147815,  -100.70, 2.66445E-011,    62.56
Transformer.T35,    1.58785,   -26.59,    1.58785,  -146.59,    1.58785,    93.41,          0,     0.00, 2.10223E-012,    37.41,    97.3957,   125.46,    97.3955,     5.46,     97.395,  -114.54, 0.00126969,  -100.82, 2.29301E-011,    63.18
Transformer.T36,    1.59018,   -26.60,    1.59018,  -146.60,    1.59018,    93.40,          0,     0.00, 2.47908E-012,    36.90,    97.5452,   125.44,    97.5449,     5.44,    97.5443,  -114.56,  0.0014894,  -100.87, 2.67432E-011,    63.22
Transformer.T37,    1.59018,   -26.60,    1.59018,  -146.60,    1.59018,    93.40,          0,     0.00, 2.47908E-012,    36.90,    97.5452,   125.44,    97.5449,     5.44,    97.5443,  -114.56,  0.0014894,  -100.87, 2.67432E-011,    63.22
Transformer.T38,    2.65436,   -26.62,    2.65436,  -146.62,    2.65436,    93.38,          0,     0.00, 4.69671E-012,    36.70,    162.836,   125.42,    162.835,     5.42,    162.834,  -114.58, 0.00284911,  -100.93, 5.19617E-011,    63.77
Transformer.T39,    1.59546,   -26.63,    1.59546,  -146.63,    1.59546,    93.37,          0,     0.00, 3.27214E-012,    36.43,    97.8847,   125.41,    97.8844,     5.41,    97.8835,  -114.59, 0.00199052,  -100.98, 3.58998E-011,    62.46
Transformer.T40,     1.5955,   -26.63,     1.5955,  -146.63,     1.5955,    93.37,          0,     0.00, 3.27214E-012,    36.43,    97.8872,   125.41,    97.8869,     5.41,    97.8861,  -114.59, 0.00199434,  -100.98, 3.64545E-011,    63.12
Transformer.T41,    1.59731,   -26.64,    1.59731,  -146.64,    1.59731,    93.36,          0,     0.00, 3.54642E-012,    36.45,    98.0037,   125.39,    98.0034,     5.39,    98.0025,  -114.61, 0.00216719,  -101.01, 3.94028E-011,    63.43
Transformer.T42,    2.66242,   -26.64,    2.66242,  -146.64,    2.66242,    93.36,          0,     0.00, 5.91476E-012,    36.40,    163.354,   125.38,    163.353,     5.39,    163.352,  -114.62,  0.0036161,  -101.02, 6.57263E-011,    61.48
Transformer.T43,    1.59886,   -26.64,    1.59886,  -146.64,    1.59886,    93.36,          0,     0.00, 3.78562E-012,    36.28,     98.103,   125.38,    98.1027,     5.38,    98.1017,  -114.62, 0.00231435,  -101.04, 4.20491E-011,    62.81
Transformer.T44,    1.59938,   -26.64,    1.59938,  -146.64,    1.59938,    93.36,          0,     0.00, 3.86058E-012,    36.28,    98.1367,   125.38,    98.1363,     5.38,    98.1354,  -114.62, 0.00236435,  -101.04, 4.23527E-011,    63.02
Transformer.T45,    1.59998,   -26.65,    1.59998,  -146.65,    1.59998,    93.35,          0,     0.00, 3.94443E-012,    36.28,     98.175,   125.37,    98.1746,     5.38,    98.1736,  -114.63, 0.00242139,  -101.05, 4.42394E-011,    62.45
Transformer.T46,    1.60155,   -26.65,    1.60155,  -146.65,    1.60155,    93.35,          0,     0.00, 4.19332E-012,    36.07,    98.2763,   125.36,    98.2759,     5.36,    98.2748,  -114.64, 0.00257205,  -101.08, 4.66742E-011,    63.06
Transformer.T47,    2.66972,   -26.66,    2.66972,  -146.66,    2.66972,    93.34,          0,     0.00, 7.03053E-012,    36.24,    163.822,   125.35,    163.822,     5.35,     163.82,  -114.65, 0.00431304,  -101.09, 7.83991E-011,    63.29
Transformer.T48,    1.60162,   -26.65,    1.60162,  -146.65,    1.60162,    93.35,          0,     0.00, 4.19025E-012,    36.35,    98.2807,   125.36,    98.2803,     5.36,    98.2792,  -114.64, 0.00257879,  -101.08, 4.70298E-011,    63.13
Transformer.T49,    1.60362,   -26.66,    1.60362,  -146.66,    1.60362,    93.34,          0,     0.00, 4.4945E-012,    36.19,    98.4092,   125.35,    98.4088,     5.35,    98.4076,  -114.65, 0.00277025,  -101.11, 5.06902E-011,    63.21
Transformer.T50,    1.60364,   -26.66,    1.60364,  -146.66,    1.60364,    93.34,          0,     0.00, 4.50415E-012,    36.13,    98.4102,   125.35,    98.4098,     5.35,    98.4086,  -114.65, 0.00277182,  -101.11, 5.05887E-011,    63.15
