Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"1", 13.8, 1,    7959.23,   -0.1,   0.99897, 2,    7959.23, -120.1,   0.99897, 3,    7959.23,  119.9,   0.99897
"2012B", 0.22, 1,    123.601,  -31.4,   0.97311, 2,    123.601, -151.4,   0.97311, 3,    123.602,   88.6,   0.97311
"2018B", 0.22, 1,    123.541,  -31.5,   0.97263, 2,    123.541, -151.4,   0.97263, 3,    123.541,   88.5,   0.97263
"2030B", 0.22, 1,    123.527,  -31.5,   0.97253, 2,    123.528, -151.5,   0.97253, 3,    123.528,   88.5,   0.97253
"2044B", 0.22, 1,    123.196,  -31.5,   0.96992, 2,    123.196, -151.5,   0.96992, 3,    123.197,   88.5,   0.96992
"2057B", 0.22, 1,    123.007,  -31.5,   0.96843, 2,    123.007, -151.5,   0.96843, 3,    123.008,   88.5,   0.96844
"2061B", 0.22, 1,    123.007,  -31.5,   0.96843, 2,    123.007, -151.5,   0.96843, 3,    123.008,   88.5,   0.96844
"2065B", 0.22, 1,    122.818,  -31.5,   0.96694, 2,    122.819, -151.5,   0.96695, 3,     122.82,   88.5,   0.96695
"2071B", 0.22, 1,     122.58,  -31.5,   0.96507, 2,    122.581, -151.5,   0.96507, 3,    122.582,   88.5,   0.96508
"2076B", 0.22, 1,    122.577,  -31.5,   0.96504, 2,    122.577, -151.5,   0.96505, 3,    122.578,   88.5,   0.96505
"2088B", 0.22, 1,    122.431,  -31.5,    0.9639, 2,    122.432, -151.5,    0.9639, 3,    122.433,   88.5,   0.96391
"2091B", 0.22, 1,    122.429,  -31.5,   0.96388, 2,    122.429, -151.5,   0.96388, 3,     122.43,   88.5,   0.96389
"2097B", 0.22, 1,    122.307,  -31.6,   0.96292, 2,    122.308, -151.6,   0.96292, 3,    122.309,   88.4,   0.96293
"2098B", 0.22, 1,    122.265,  -31.6,   0.96259, 2,    122.266, -151.6,   0.96259, 3,    122.267,   88.4,    0.9626
"2106B", 0.22, 1,    122.217,  -31.6,   0.96221, 2,    122.218, -151.6,   0.96222, 3,    122.219,   88.4,   0.96223
"2113B", 0.22, 1,    122.091,  -31.6,   0.96122, 2,    122.092, -151.6,   0.96122, 3,    122.093,   88.4,   0.96124
"2125B", 0.22, 1,    122.078,  -31.6,   0.96112, 2,    122.079, -151.6,   0.96112, 3,     122.08,   88.4,   0.96113
"2127B", 0.22, 1,    122.086,  -31.6,   0.96118, 2,    122.086, -151.6,   0.96118, 3,    122.088,   88.4,   0.96119
"2137B", 0.22, 1,    121.926,  -31.6,   0.95992, 2,    121.927, -151.6,   0.95993, 3,    121.928,   88.4,   0.95994
"2141B", 0.22, 1,    121.925,  -31.6,   0.95991, 2,    121.926, -151.6,   0.95992, 3,    121.927,   88.4,   0.95993
"2142B", 0.22, 1,    121.894,  -31.6,   0.95967, 2,    121.894, -151.6,   0.95967, 3,    121.896,   88.4,   0.95968
"2148B", 0.22, 1,    121.739,  -31.6,   0.95845, 2,     121.74, -151.6,   0.95845, 3,    121.741,   88.4,   0.95846
"2152B", 0.22, 1,    121.589,  -31.6,   0.95727, 2,     121.59, -151.6,   0.95727, 3,    121.592,   88.4,   0.95729
"2159B", 0.22, 1,    121.509,  -31.6,   0.95664, 2,     121.51, -151.6,   0.95664, 3,    121.511,   88.4,   0.95665
"2166B", 0.22, 1,    121.437,  -31.6,   0.95607, 2,    121.438, -151.6,   0.95607, 3,    121.439,   88.4,   0.95609
"2168B", 0.22, 1,    121.373,  -31.6,   0.95556, 2,    121.373, -151.6,   0.95557, 3,    121.375,   88.4,   0.95558
"2176B", 0.22, 1,     121.13,  -31.7,   0.95365, 2,     121.13, -151.7,   0.95365, 3,    121.132,   88.3,   0.95367
"2184B", 0.22, 1,    121.028,  -31.7,   0.95285, 2,    121.028, -151.7,   0.95285, 3,     121.03,   88.3,   0.95287
"2190B", 0.22, 1,    120.963,  -31.7,   0.95234, 2,    120.964, -151.7,   0.95234, 3,    120.966,   88.3,   0.95236
"2193B", 0.22, 1,    120.905,  -31.7,   0.95188, 2,    120.906, -151.7,   0.95189, 3,    120.908,   88.3,    0.9519
"2199B", 0.22, 1,    120.844,  -31.7,    0.9514, 2,    120.844, -151.7,    0.9514, 3,    120.846,   88.3,   0.95142
"2200B", 0.22, 1,    120.819,  -31.7,    0.9512, 2,    120.819, -151.7,   0.95121, 3,    120.821,   88.3,   0.95122
"2220B", 0.22, 1,    120.595,  -31.7,   0.94944, 2,    120.595, -151.7,   0.94944, 3,    120.598,   88.3,   0.94946
"2231B", 0.22, 1,    120.587,  -31.7,   0.94938, 2,    120.588, -151.7,   0.94938, 3,     120.59,   88.3,    0.9494
"2237B", 0.22, 1,     120.59,  -31.7,    0.9494, 2,    120.591, -151.7,   0.94941, 3,    120.593,   88.3,   0.94942
"2241B", 0.22, 1,    120.585,  -31.7,   0.94936, 2,    120.585, -151.7,   0.94936, 3,    120.587,   88.3,   0.94938
"2250B", 0.22, 1,    120.579,  -31.7,   0.94931, 2,     120.58, -151.7,   0.94932, 3,    120.582,   88.3,   0.94934
"2253B", 0.22, 1,    120.576,  -31.7,   0.94929, 2,    120.576, -151.7,   0.94929, 3,    120.579,   88.3,   0.94931
"2259B", 0.22, 1,    120.601,  -31.7,   0.94949, 2,    120.602, -151.7,   0.94949, 3,    120.604,   88.3,   0.94951
"2261B", 0.22, 1,    120.592,  -31.7,   0.94941, 2,    120.593, -151.7,   0.94942, 3,    120.595,   88.3,   0.94944
"2269B", 0.22, 1,     120.56,  -31.7,   0.94917, 2,    120.561, -151.7,   0.94917, 3,    120.563,   88.3,   0.94919
"2274B", 0.22, 1,    120.556,  -31.7,   0.94913, 2,    120.557, -151.7,   0.94914, 3,    120.559,   88.3,   0.94915
"2279B", 0.22, 1,    120.539,  -31.7,     0.949, 2,     120.54, -151.7,     0.949, 3,    120.542,   88.3,   0.94902
"2286B", 0.22, 1,    120.523,  -31.7,   0.94887, 2,    120.524, -151.7,   0.94888, 3,    120.526,   88.3,    0.9489
"2288B", 0.22, 1,    120.521,  -31.7,   0.94886, 2,    120.522, -151.7,   0.94886, 3,    120.524,   88.3,   0.94888
"2290B", 0.22, 1,    120.526,  -31.7,    0.9489, 2,    120.527, -151.7,    0.9489, 3,    120.529,   88.3,   0.94892
"2294B", 0.22, 1,     120.52,  -31.7,   0.94885, 2,    120.521, -151.7,   0.94886, 3,    120.523,   88.3,   0.94887
