hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
1, 0.00000, 1053.41, 26.5713, 1053.4, 26.5701, 1053.4, 26.5723
2, 0.00000, 385.613, 29.0646, 385.593, 29.0621, 385.595, 29.0662
3, 0.00000, 345.216, 29.6558, 345.196, 29.653, 345.198, 29.6576
4, 0.00000, 325.031, 30.0178, 325.011, 30.0148, 325.014, 30.0198
5, 0.00000, 426.143, 28.6032, 426.124, 28.6009, 426.125, 28.6047
6, 0.00000, 528.391, 27.7828, 528.372, 27.7809, 528.374, 27.784
7, 0.00000, 631.662, 27.277, 631.643, 27.2754, 631.644, 27.278
8, 0.00000, 652.378, 27.2019, 652.359, 27.2003, 652.36, 27.2028
9, 0.00000, 683.568, 27.1003, 683.55, 27.0988, 683.551, 27.1012
10, 0.00000, 631.698, 27.2762, 631.679, 27.2746, 631.68, 27.2772
11, 0.00000, 579.931, 27.4998, 579.912, 27.4981, 579.913, 27.5009
12, 0.00000, 528.417, 27.7817, 528.398, 27.7798, 528.399, 27.7828
13, 0.00000, 600.581, 27.4049, 600.562, 27.4032, 600.563, 27.4059
14, 0.00000, 631.564, 27.279, 631.545, 27.2774, 631.546, 27.2799
15, 0.00000, 683.689, 27.0985, 683.67, 27.0971, 683.671, 27.0994
16, 0.00000, 735.957, 26.9565, 735.938, 26.9551, 735.939, 26.9573
17, 0.00000, 788.479, 26.8437, 788.461, 26.8424, 788.461, 26.8444
18, 0.00000, 841.258, 26.7549, 841.24, 26.7537, 841.24, 26.7556
19, 0.00000, 873.059, 26.7114, 873.041, 26.7102, 873.041, 26.7121
20, 0.00000, 830.72, 26.7707, 830.702, 26.7695, 830.702, 26.7714
21, 0.00000, 736.004, 26.956, 735.985, 26.9546, 735.986, 26.9568
22, 0.00000, 683.718, 27.0981, 683.699, 27.0966, 683.7, 27.099
23, 0.00000, 600.615, 27.404, 600.596, 27.4023, 600.597, 27.405
24, 0.00000, 528.421, 27.7815, 528.402, 27.7796, 528.403, 27.7827
25, 0.00000, 1053.41, 26.5713, 1053.41, 26.5701, 1053.4, 26.5724
