Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    30.0168,   102.71,    30.0135,   -17.29,    30.0163,  -137.29,          0,     0.00, 0.00540761,   149.39,    30.0168,   -77.29,    30.0135,   162.71,    30.0163,    42.71,          0,     0.00, 0.00540761,   -30.61
Transformer.T32,   0.645964,   -28.68,   0.645964,  -148.68,   0.645964,    91.32,          0,     0.00, 1.63743E-013,    74.91,     38.169,   126.47,    38.1689,     6.47,    38.1689,  -113.53, 7.25421E-005,   -47.36, 1.54631E-012,   126.03
Transformer.T33,    0.64574,   -28.66,    0.64574,  -148.66,    0.64574,    91.34,          0,     0.00, 7.10543E-014,   126.87,    38.1539,   126.50,    38.1538,     6.50,    38.1538,  -113.50, 8.25371E-005,   -22.51, 1.7053E-012,   143.13
Transformer.T34,    1.43204,  -173.83,    1.43204,    66.17,    1.43204,   -53.83,          0,     0.00, 5.76515E-013,  -138.75,    90.4627,   -28.37,    90.4626,  -148.37,    90.4628,    91.63, 0.000319126,  -140.25, 6.40694E-012,    27.47
Transformer.T35,   0.646639,   -28.68,   0.646639,  -148.68,   0.646639,    91.32,          0,     0.00, 4.56534E-013,    60.64,    38.2145,   126.47,    38.2144,     6.47,    38.2144,  -113.53, 0.000128366,   -69.30, 1.83315E-012,    97.13
Transformer.T36,   0.646979,   -28.68,    0.64698,  -148.68,   0.646979,    91.32,          0,     0.00, 6.17845E-013,    59.60,    38.2374,   126.47,    38.2374,     6.47,    38.2374,  -113.53, 0.000159281,   -74.95, 2.39823E-012,    84.56
Transformer.T37,   0.646979,   -28.68,    0.64698,  -148.68,   0.646979,    91.32,          0,     0.00, 6.17845E-013,    59.60,    38.2374,   126.47,    38.2374,     6.47,    38.2374,  -113.53, 0.000159281,   -74.95, 2.39823E-012,    84.56
Transformer.T38,    1.07895,   -28.68,    1.07895,  -148.68,    1.07895,    91.32,          0,     0.00, 1.26853E-012,    58.98,    63.7715,   126.45,    63.7714,     6.45,    63.7714,  -113.55, 0.000318642,   -78.73, 5.91609E-012,    87.80
Transformer.T39,   0.647751,   -28.67,   0.647751,  -148.67,   0.647751,    91.33,          0,     0.00, 9.4374E-013,    57.69,    38.2895,   126.46,    38.2894,     6.46,    38.2893,  -113.54, 0.000232588,   -82.02, 4.61658E-012,    80.07
Transformer.T40,   0.647757,   -28.67,   0.647757,  -148.67,   0.647757,    91.33,          0,     0.00, 9.56954E-013,    57.43,    38.2899,   126.46,    38.2898,     6.46,    38.2897,  -113.54, 0.000233148,   -82.06, 4.86069E-012,    79.22
Transformer.T41,   0.648021,   -28.67,   0.648021,  -148.67,   0.648021,    91.33,          0,     0.00, 1.07012E-012,    56.78,    38.3077,   126.45,    38.3076,     6.45,    38.3075,  -113.55, 0.000258788,   -83.55, 4.7978E-012,    76.29
Transformer.T42,    1.08012,   -28.68,    1.08012,  -148.68,    1.08012,    91.32,          0,     0.00, 1.76971E-012,    56.63,    63.8508,   126.44,    63.8507,     6.44,    63.8506,  -113.56, 0.000431909,   -83.58, 7.77738E-012,    74.74
Transformer.T43,   0.648246,   -28.67,   0.648246,  -148.67,   0.648245,    91.33,          0,     0.00, 1.16025E-012,    56.55,    38.3228,   126.45,    38.3227,     6.45,    38.3227,  -113.55, 0.000280717,   -84.60, 5.30809E-012,    80.13
Transformer.T44,   0.648322,   -28.67,   0.648322,  -148.67,   0.648322,    91.33,          0,     0.00, 1.1972E-012,    56.50,    38.3279,   126.45,    38.3279,     6.45,    38.3278,  -113.55, 0.000288173,   -84.92, 5.04595E-012,    75.65
Transformer.T45,   0.648408,   -28.67,   0.648408,  -148.67,   0.648408,    91.33,          0,     0.00, 1.23367E-012,    56.63,    38.3338,   126.45,    38.3337,     6.45,    38.3336,  -113.55, 0.000296668,   -85.27, 4.88324E-012,    77.91
