Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"1", 13.8, 1,    7964.58,    0.0,   0.99964, 2,    7964.58, -120.0,   0.99964, 3,    7964.58,  120.0,   0.99964
"2012B", 0.22, 1,    125.743,  -30.5,   0.98997, 2,    125.744, -150.5,   0.98997, 3,    125.744,   89.5,   0.98997
"2018B", 0.22, 1,    125.793,  -30.4,   0.99036, 2,    125.793, -150.4,   0.99037, 3,    125.793,   89.6,   0.99037
"2030B", 0.22, 1,    127.425,  -28.9,    1.0032, 2,    127.426, -148.9,    1.0032, 3,    127.425,   91.1,    1.0032
"2044B", 0.22, 1,    125.594,  -30.5,   0.98879, 2,    125.594, -150.5,   0.98879, 3,    125.594,   89.5,   0.98879
"2057B", 0.22, 1,    125.518,  -30.5,    0.9882, 2,    125.518, -150.5,    0.9882, 3,    125.518,   89.5,    0.9882
"2061B", 0.22, 1,    125.518,  -30.5,    0.9882, 2,    125.518, -150.5,    0.9882, 3,    125.518,   89.5,    0.9882
"2065B", 0.22, 1,    125.442,  -30.5,    0.9876, 2,    125.443, -150.5,    0.9876, 3,    125.443,   89.5,   0.98761
"2071B", 0.22, 1,    125.347,  -30.5,   0.98685, 2,    125.347, -150.5,   0.98685, 3,    125.348,   89.5,   0.98686
"2076B", 0.22, 1,    125.346,  -30.5,   0.98684, 2,    125.346, -150.5,   0.98684, 3,    125.346,   89.5,   0.98685
"2088B", 0.22, 1,    125.288,  -30.5,   0.98638, 2,    125.288, -150.5,   0.98639, 3,    125.288,   89.5,   0.98639
"2091B", 0.22, 1,    125.287,  -30.5,   0.98638, 2,    125.287, -150.5,   0.98638, 3,    125.287,   89.5,   0.98638
"2097B", 0.22, 1,    125.238,  -30.5,   0.98599, 2,    125.238, -150.5,     0.986, 3,    125.238,   89.5,     0.986
"2098B", 0.22, 1,    125.221,  -30.5,   0.98586, 2,    125.221, -150.5,   0.98586, 3,    125.222,   89.5,   0.98587
"2106B", 0.22, 1,    125.202,  -30.5,   0.98571, 2,    125.202, -150.5,   0.98571, 3,    125.203,   89.5,   0.98572
"2113B", 0.22, 1,    125.152,  -30.5,   0.98531, 2,    125.152, -150.5,   0.98532, 3,    125.152,   89.5,   0.98532
"2125B", 0.22, 1,    125.146,  -30.5,   0.98527, 2,    125.147, -150.5,   0.98527, 3,    125.147,   89.5,   0.98528
"2127B", 0.22, 1,    125.149,  -30.5,    0.9853, 2,     125.15, -150.5,    0.9853, 3,     125.15,   89.5,    0.9853
"2137B", 0.22, 1,    125.086,  -30.5,   0.98479, 2,    125.086, -150.5,    0.9848, 3,    125.086,   89.5,    0.9848
"2141B", 0.22, 1,    125.085,  -30.5,   0.98479, 2,    125.085, -150.5,   0.98479, 3,    125.086,   89.5,    0.9848
"2142B", 0.22, 1,    125.073,  -30.5,   0.98469, 2,    125.073, -150.5,   0.98469, 3,    125.073,   89.5,    0.9847
"2148B", 0.22, 1,    125.011,  -30.5,    0.9842, 2,    125.011, -150.5,   0.98421, 3,    125.011,   89.5,   0.98421
"2152B", 0.22, 1,    124.951,  -30.5,   0.98373, 2,    124.951, -150.5,   0.98374, 3,    124.952,   89.5,   0.98374
"2159B", 0.22, 1,    124.919,  -30.5,   0.98348, 2,    124.919, -150.5,   0.98348, 3,     124.92,   89.5,   0.98349
"2166B", 0.22, 1,     124.89,  -30.5,   0.98325, 2,     124.89, -150.5,   0.98326, 3,    124.891,   89.5,   0.98326
"2168B", 0.22, 1,    124.864,  -30.5,   0.98305, 2,    124.865, -150.5,   0.98305, 3,    124.865,   89.5,   0.98306
"2176B", 0.22, 1,    124.767,  -30.5,   0.98229, 2,    124.767, -150.5,   0.98229, 3,    124.768,   89.5,   0.98229
"2184B", 0.22, 1,    124.726,  -30.5,   0.98197, 2,    124.727, -150.5,   0.98197, 3,    124.727,   89.5,   0.98197
"2190B", 0.22, 1,    124.701,  -30.5,   0.98176, 2,    124.701, -150.5,   0.98177, 3,    124.702,   89.5,   0.98177
"2193B", 0.22, 1,    124.677,  -30.5,   0.98158, 2,    124.678, -150.5,   0.98158, 3,    124.678,   89.5,   0.98159
"2199B", 0.22, 1,    124.653,  -30.5,   0.98139, 2,    124.653, -150.5,   0.98139, 3,    124.654,   89.5,   0.98139
"2200B", 0.22, 1,    124.643,  -30.5,   0.98131, 2,    124.643, -150.5,   0.98131, 3,    124.644,   89.5,   0.98131
"2220B", 0.22, 1,    124.552,  -30.5,   0.98059, 2,    124.552, -150.5,    0.9806, 3,    124.553,   89.5,    0.9806
"2231B", 0.22, 1,    124.549,  -30.5,   0.98057, 2,    124.549, -150.5,   0.98057, 3,     124.55,   89.5,   0.98058
"2237B", 0.22, 1,     124.55,  -30.5,   0.98058, 2,     124.55, -150.5,   0.98058, 3,    124.551,   89.5,   0.98058
"2241B", 0.22, 1,    124.548,  -30.5,   0.98056, 2,    124.548, -150.5,   0.98056, 3,    124.549,   89.5,   0.98057
"2250B", 0.22, 1,    124.545,  -30.5,   0.98054, 2,    124.546, -150.5,   0.98054, 3,    124.546,   89.5,   0.98055
"2253B", 0.22, 1,    124.544,  -30.5,   0.98053, 2,    124.544, -150.5,   0.98053, 3,    124.545,   89.5,   0.98054
"2259B", 0.22, 1,    124.555,  -30.5,   0.98061, 2,    124.555, -150.5,   0.98062, 3,    124.556,   89.5,   0.98062
"2261B", 0.22, 1,    124.551,  -30.5,   0.98058, 2,    124.551, -150.5,   0.98059, 3,    124.552,   89.5,   0.98059
"2269B", 0.22, 1,    124.537,  -30.5,   0.98048, 2,    124.538, -150.5,   0.98048, 3,    124.539,   89.5,   0.98049
"2274B", 0.22, 1,    124.536,  -30.5,   0.98046, 2,    124.536, -150.5,   0.98047, 3,    124.537,   89.5,   0.98047
"2279B", 0.22, 1,    124.529,  -30.5,   0.98041, 2,    124.529, -150.5,   0.98041, 3,     124.53,   89.5,   0.98042
"2286B", 0.22, 1,    124.522,  -30.5,   0.98036, 2,    124.522, -150.5,   0.98036, 3,    124.523,   89.5,   0.98036
"2288B", 0.22, 1,    124.521,  -30.5,   0.98035, 2,    124.522, -150.5,   0.98035, 3,    124.522,   89.5,   0.98036
