Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    104.352,   147.80,     104.35,    27.80,     104.35,   -92.20,          0,     0.00, 0.00538369,   149.27,    104.352,   -32.20,     104.35,  -152.20,     104.35,    87.80,          0,     0.00, 0.00538369,   -30.73
Transformer.T32,   0.648266,   -28.76,   0.648266,  -148.76,   0.648266,    91.24,          0,     0.00, 1.02393E-012,    37.39,    38.3241,   126.36,    38.3241,     6.36,     38.324,  -113.64, 0.000250145,   -93.69, 3.92014E-012,    73.14
Transformer.T33,   0.648929,   -28.75,   0.648929,  -148.75,   0.648928,    91.25,          0,     0.00, 1.28885E-012,    33.36,    38.3688,   126.36,    38.3687,     6.36,    38.3686,  -113.64, 0.000316205,   -93.24, 6.59971E-012,    79.08
Transformer.T34,   0.194254,   -35.82,   0.194254,  -155.82,   0.194254,    84.18,          0,     0.00, 2.90286E-012,    28.51,    8.92387,   149.26,    8.92384,    29.26,     8.9238,   -90.74, 0.000109916,   -69.13, 2.23937E-012,    66.04
Transformer.T35,   0.649097,   -28.75,   0.649097,  -148.75,   0.649097,    91.25,          0,     0.00, 1.37263E-012,    40.22,    38.3802,   126.35,    38.3801,     6.35,      38.38,  -113.65, 0.000333265,   -94.35, 5.65813E-012,    67.56
Transformer.T36,   0.649442,   -28.75,   0.649443,  -148.75,   0.649442,    91.25,          0,     0.00, 1.52476E-012,    41.79,    38.4034,   126.35,    38.4034,     6.35,    38.4032,  -113.65, 0.000367872,   -94.61, 7.01918E-012,    65.10
Transformer.T37,   0.649442,   -28.75,   0.649443,  -148.75,   0.649442,    91.25,          0,     0.00, 1.52476E-012,    41.79,    38.4034,   126.35,    38.4034,     6.35,    38.4032,  -113.65, 0.000367872,   -94.61, 7.01918E-012,    65.10
Transformer.T38,    1.08306,   -28.76,    1.08306,  -148.76,    1.08306,    91.24,          0,     0.00, 2.78285E-012,    42.88,    64.0487,   126.33,    64.0486,     6.33,    64.0483,  -113.67, 0.000670746,   -94.83, 1.12176E-011,    72.30
Transformer.T39,   0.650224,   -28.75,   0.650224,  -148.75,   0.650224,    91.25,          0,     0.00, 1.86302E-012,    44.03,    38.4561,   126.34,     38.456,     6.34,    38.4559,  -113.66, 0.000446404,   -95.04, 8.17044E-012,    68.79
Transformer.T40,    0.65023,   -28.75,    0.65023,  -148.75,    0.65023,    91.25,          0,     0.00, 1.86089E-012,    43.49,    38.4565,   126.34,    38.4564,     6.34,    38.4563,  -113.66, 0.000446994,   -95.05, 8.29992E-012,    66.60
Transformer.T41,   0.650498,   -28.75,   0.650498,  -148.75,   0.650497,    91.25,          0,     0.00, 1.96975E-012,    44.12,    38.4745,   126.33,    38.4745,     6.33,    38.4743,  -113.67, 0.000473927,   -95.17, 8.01714E-012,    71.82
Transformer.T42,    1.08425,   -28.76,    1.08425,  -148.76,    1.08425,    91.24,          0,     0.00, 3.30115E-012,    44.39,    64.1289,   126.32,    64.1288,     6.32,    64.1285,  -113.68, 0.000790527,   -95.18, 1.50771E-011,    66.91
Transformer.T43,   0.650725,   -28.75,   0.650725,  -148.75,   0.650725,    91.25,          0,     0.00, 2.06754E-012,    44.65,    38.4899,   126.33,    38.4898,     6.33,    38.4896,  -113.67, 0.000496842,   -95.26, 9.07788E-012,    67.93
Transformer.T44,   0.650802,   -28.75,   0.650802,  -148.75,   0.650802,    91.25,          0,     0.00, 2.11272E-012,    44.93,    38.4951,   126.33,     38.495,     6.33,    38.4948,  -113.67, 0.000504613,   -95.29, 9.1212E-012,    67.27
Transformer.T45,    0.65089,   -28.75,    0.65089,  -148.75,    0.65089,    91.25,          0,     0.00, 2.14538E-012,    45.13,     38.501,   126.33,    38.5009,     6.33,    38.5007,  -113.67, 0.000513457,   -95.32, 9.22616E-012,    67.54
Transformer.T46,   0.651121,   -28.75,   0.651122,  -148.75,   0.651121,    91.25,          0,     0.00, 2.24338E-012,    45.32,    38.5166,   126.33,    38.5165,     6.33,    38.5163,  -113.67, 0.000536818,   -95.40, 9.81467E-012,    71.77
Transformer.T47,    1.08532,   -28.75,    1.08532,  -148.75,    1.08532,    91.25,          0,     0.00, 3.77333E-012,    45.38,    64.2012,   126.32,    64.2011,     6.32,    64.2007,  -113.68, 0.000898722,   -95.41, 1.60713E-011,    64.89
Transformer.T48,   0.651132,   -28.75,   0.651132,  -148.75,   0.651132,    91.25,          0,     0.00, 2.24844E-012,    45.45,    38.5173,   126.33,    38.5172,     6.33,     38.517,  -113.67, 0.000537846,   -95.40, 9.67408E-012,    70.07
Transformer.T49,   0.651425,   -28.74,   0.651426,  -148.74,   0.651425,    91.26,          0,     0.00, 2.3742E-012,    45.79,     38.537,   126.32,    38.5369,     6.32,    38.5367,  -113.68, 0.000567475,   -95.49, 1.0136E-011,    66.89
Transformer.T50,   0.651428,   -28.74,   0.651428,  -148.74,   0.651427,    91.26,          0,     0.00, 2.37668E-012,    45.73,    38.5372,   126.32,    38.5371,     6.32,    38.5369,  -113.68, 0.000567713,   -95.49, 1.08973E-011,    66.64
Transformer.T51,   0.651485,   -28.74,   0.651486,  -148.74,   0.651485,    91.26,          0,     0.00, 2.39175E-012,    45.72,    38.5411,   126.32,     38.541,     6.32,    38.5407,  -113.68, 0.000573541,   -95.51, 1.01405E-011,    70.35
Transformer.T52,    0.65177,   -28.74,   0.651771,  -148.74,    0.65177,    91.26,          0,     0.00, 2.51758E-012,    46.03,    38.5603,   126.32,    38.5602,     6.32,    38.5599,  -113.68, 0.00060237,   -95.59, 1.1044E-011,    69.51
Transformer.T53,   0.652046,   -28.74,   0.652047,  -148.74,   0.652046,    91.26,          0,     0.00, 2.63214E-012,    46.29,    38.5789,   126.31,    38.5787,     6.31,    38.5785,  -113.69,  0.0006303,   -95.66, 1.16322E-011,    68.20
Transformer.T54,    1.08707,   -28.75,    1.08707,  -148.75,    1.08707,    91.25,          0,     0.00, 4.48258E-012,    46.16,    64.3189,   126.30,    64.3187,     6.30,    64.3183,  -113.70, 0.00107535,   -95.70, 1.89826E-011,    71.13
Transformer.T55,    1.08729,   -28.75,    1.08729,  -148.75,    1.08729,    91.25,          0,     0.00, 4.59611E-012,    46.41,    64.3338,   126.30,    64.3336,     6.30,    64.3332,  -113.70, 0.00109782,   -95.74, 1.972E-011,    69.06
Transformer.T56,    1.08749,   -28.75,    1.08749,  -148.75,    1.08749,    91.25,          0,     0.00, 4.677E-012,    46.63,    64.3472,   126.30,     64.347,     6.30,    64.3466,  -113.70, 0.00111797,   -95.76, 2.0651E-011,    69.37
Transformer.T57,    1.08824,   -28.75,    1.08824,  -148.75,    1.08824,    91.25,          0,     0.00, 4.99613E-012,    46.61,    64.3977,   126.29,    64.3974,     6.30,     64.397,  -113.71, 0.00119392,   -95.85, 2.27203E-011,    67.03
Transformer.T58,    1.08856,   -28.75,    1.08856,  -148.75,    1.08855,    91.25,          0,     0.00, 5.13282E-012,    46.96,    64.4188,   126.29,    64.4186,     6.29,    64.4181,  -113.71, 0.00122585,   -95.89, 2.15334E-011,    68.31
Transformer.T59,    1.08875,   -28.75,    1.08875,  -148.75,    1.08875,    91.25,          0,     0.00, 5.20797E-012,    46.88,    64.4322,   126.29,     64.432,     6.29,    64.4315,  -113.71, 0.00124605,   -95.91, 2.05493E-011,    65.14
Transformer.T60,    1.08893,   -28.74,    1.08893,  -148.74,    1.08893,    91.26,          0,     0.00, 5.28865E-012,    46.96,    64.4443,   126.29,    64.4441,     6.29,    64.4436,  -113.71,  0.0012643,   -95.93, 2.3181E-011,    68.72
Transformer.T61,    1.08912,   -28.74,    1.08912,  -148.74,    1.08912,    91.26,          0,     0.00, 5.36415E-012,    46.99,    64.4571,   126.29,    64.4569,     6.29,    64.4564,  -113.71, 0.00128364,   -95.95, 2.34757E-011,    68.40
Transformer.T62,     1.0892,   -28.74,     1.0892,  -148.74,     1.0892,    91.26,          0,     0.00, 5.40207E-012,    47.05,    64.4623,   126.29,    64.4621,     6.29,    64.4616,  -113.71, 0.00129154,   -95.96, 2.28429E-011,    67.77
Transformer.T82,   0.653894,   -28.73,   0.653895,  -148.73,   0.653894,    91.27,          0,     0.00, 3.43011E-012,    47.60,    38.7033,   126.29,    38.7031,     6.29,    38.7028,  -113.71, 0.000817851,   -96.01, 1.50105E-011,    68.68
Transformer.T63,   0.653908,   -28.73,   0.653909,  -148.73,   0.653908,    91.27,          0,     0.00, 3.42726E-012,    47.48,    38.7042,   126.29,    38.7041,     6.29,    38.7037,  -113.71, 0.000819298,   -96.01, 1.47359E-011,    67.79
Transformer.T64,   0.653904,   -28.73,   0.653904,  -148.73,   0.653903,    91.27,          0,     0.00, 3.42203E-012,    47.40,    38.7039,   126.29,    38.7037,     6.29,    38.7034,  -113.71, 0.00081882,   -96.01, 1.43849E-011,    70.13
Transformer.T65,   0.653914,   -28.73,   0.653914,  -148.73,   0.653914,    91.27,          0,     0.00, 3.4373E-012,    47.47,    38.7046,   126.29,    38.7044,     6.29,    38.7041,  -113.71, 0.000819869,   -96.01, 1.4302E-011,    66.08
Transformer.T66,   0.653925,   -28.73,   0.653926,  -148.73,   0.653925,    91.27,          0,     0.00, 3.4395E-012,    47.34,    38.7053,   126.29,    38.7052,     6.29,    38.7049,  -113.71, 0.000820995,   -96.02, 1.5648E-011,    69.59
Transformer.T67,   0.653931,   -28.73,   0.653932,  -148.73,   0.653931,    91.27,          0,     0.00, 3.43599E-012,    47.45,    38.7057,   126.29,    38.7056,     6.29,    38.7053,  -113.71, 0.000821634,   -96.02, 1.44883E-011,    71.71
Transformer.T68,   0.653882,   -28.73,   0.653882,  -148.73,   0.653881,    91.27,          0,     0.00, 3.39934E-012,    47.37,    38.7024,   126.29,    38.7023,     6.29,    38.7019,  -113.71, 0.000816584,   -96.01, 1.46933E-011,    68.20
