Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"1", 13.8, 1,    7960.26,    0.0,    0.9991, 2,    7960.26, -120.0,    0.9991, 3,    7960.26,  120.0,    0.9991
"2012B", 0.22, 1,    125.234,  -30.6,   0.98597, 2,    125.235, -150.6,   0.98597, 3,    125.235,   89.4,   0.98597
"2018B", 0.22, 1,    125.089,  -30.6,   0.98482, 2,    125.089, -150.6,   0.98482, 3,    125.089,   89.4,   0.98482
"2030B", 0.22, 1,    125.732,  -30.1,   0.98988, 2,    125.732, -150.1,   0.98989, 3,    125.733,   89.9,   0.98989
"2044B", 0.22, 1,    125.051,  -30.6,   0.98452, 2,    125.051, -150.6,   0.98453, 3,    125.052,   89.4,   0.98453
"2057B", 0.22, 1,    124.975,  -30.6,   0.98393, 2,    124.976, -150.6,   0.98393, 3,    124.976,   89.4,   0.98393
"2061B", 0.22, 1,    124.975,  -30.6,   0.98393, 2,    124.976, -150.6,   0.98393, 3,    124.976,   89.4,   0.98393
"2065B", 0.22, 1,      124.9,  -30.6,   0.98333, 2,      124.9, -150.6,   0.98333, 3,      124.9,   89.4,   0.98334
"2071B", 0.22, 1,    124.804,  -30.6,   0.98258, 2,    124.804, -150.6,   0.98258, 3,    124.805,   89.4,   0.98258
"2076B", 0.22, 1,    124.803,  -30.6,   0.98257, 2,    124.803, -150.6,   0.98257, 3,    124.803,   89.4,   0.98257
"2088B", 0.22, 1,    124.744,  -30.6,    0.9821, 2,    124.744, -150.6,   0.98211, 3,    124.745,   89.4,   0.98211
"2091B", 0.22, 1,    124.743,  -30.6,    0.9821, 2,    124.743, -150.6,    0.9821, 3,    124.744,   89.4,    0.9821
"2097B", 0.22, 1,    124.694,  -30.6,   0.98171, 2,    124.695, -150.6,   0.98172, 3,    124.695,   89.4,   0.98172
"2098B", 0.22, 1,    124.677,  -30.6,   0.98158, 2,    124.678, -150.6,   0.98158, 3,    124.678,   89.4,   0.98159
"2106B", 0.22, 1,    124.658,  -30.6,   0.98143, 2,    124.659, -150.6,   0.98143, 3,    124.659,   89.4,   0.98144
"2113B", 0.22, 1,    124.608,  -30.6,   0.98103, 2,    124.608, -150.6,   0.98103, 3,    124.609,   89.4,   0.98104
"2125B", 0.22, 1,    124.602,  -30.6,   0.98099, 2,    124.603, -150.6,   0.98099, 3,    124.603,   89.4,     0.981
"2127B", 0.22, 1,    124.605,  -30.6,   0.98101, 2,    124.606, -150.6,   0.98102, 3,    124.606,   89.4,   0.98102
"2137B", 0.22, 1,    124.541,  -30.6,   0.98051, 2,    124.542, -150.6,   0.98051, 3,    124.542,   89.4,   0.98052
"2141B", 0.22, 1,    124.541,  -30.6,   0.98051, 2,    124.541, -150.6,   0.98051, 3,    124.542,   89.4,   0.98051
"2142B", 0.22, 1,    124.528,  -30.6,   0.98041, 2,    124.529, -150.6,   0.98041, 3,    124.529,   89.4,   0.98041
"2148B", 0.22, 1,    124.466,  -30.6,   0.97992, 2,    124.467, -150.6,   0.97992, 3,    124.467,   89.4,   0.97993
"2152B", 0.22, 1,    124.406,  -30.6,   0.97944, 2,    124.407, -150.6,   0.97945, 3,    124.407,   89.4,   0.97945
"2159B", 0.22, 1,    124.374,  -30.6,   0.97919, 2,    124.374, -150.6,   0.97919, 3,    124.375,   89.4,    0.9792
"2166B", 0.22, 1,    124.345,  -30.6,   0.97896, 2,    124.345, -150.6,   0.97897, 3,    124.346,   89.4,   0.97897
"2168B", 0.22, 1,    124.319,  -30.6,   0.97876, 2,     124.32, -150.6,   0.97876, 3,     124.32,   89.4,   0.97877
"2176B", 0.22, 1,    124.222,  -30.6,   0.97799, 2,    124.222, -150.6,   0.97799, 3,    124.223,   89.4,     0.978
"2184B", 0.22, 1,    124.181,  -30.6,   0.97767, 2,    124.181, -150.6,   0.97767, 3,    124.182,   89.4,   0.97768
"2190B", 0.22, 1,    124.155,  -30.6,   0.97747, 2,    124.155, -150.6,   0.97747, 3,    124.156,   89.4,   0.97748
"2193B", 0.22, 1,    124.132,  -30.6,   0.97728, 2,    124.132, -150.6,   0.97729, 3,    124.133,   89.4,   0.97729
"2199B", 0.22, 1,    124.107,  -30.6,   0.97709, 2,    124.107, -150.6,   0.97709, 3,    124.108,   89.4,    0.9771
"2200B", 0.22, 1,    124.097,  -30.6,   0.97701, 2,    124.097, -150.6,   0.97701, 3,    124.098,   89.4,   0.97702
"2220B", 0.22, 1,    124.006,  -30.6,   0.97629, 2,    124.006, -150.6,   0.97629, 3,    124.007,   89.4,    0.9763
"2231B", 0.22, 1,    124.002,  -30.6,   0.97627, 2,    124.003, -150.6,   0.97627, 3,    124.004,   89.4,   0.97628
"2237B", 0.22, 1,    124.004,  -30.6,   0.97627, 2,    124.004, -150.6,   0.97628, 3,    124.005,   89.4,   0.97629
"2241B", 0.22, 1,    124.001,  -30.6,   0.97626, 2,    124.002, -150.6,   0.97626, 3,    124.003,   89.4,   0.97627
"2250B", 0.22, 1,    123.999,  -30.6,   0.97624, 2,    123.999, -150.6,   0.97624, 3,        124,   89.4,   0.97625
"2253B", 0.22, 1,    123.998,  -30.6,   0.97623, 2,    123.998, -150.6,   0.97623, 3,    123.999,   89.4,   0.97624
"2259B", 0.22, 1,    124.008,  -30.6,   0.97631, 2,    124.009, -150.6,   0.97632, 3,     124.01,   89.4,   0.97632
