hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
1, 0.00000, 830.657, 32.1533, 830.638, 32.1523, 830.64, 32.1542
2, 0.00000, 790.29, 32.5715, 790.27, 32.5704, 790.272, 32.5725
3, 0.00000, 750.046, 33.0409, 750.026, 33.0398, 750.029, 33.0419
4, 0.00000, 729.983, 33.2974, 729.963, 33.2962, 729.966, 33.2984
5, 0.00000, 830.677, 32.153, 830.657, 32.152, 830.659, 32.154
6, 0.00000, 932.609, 31.2835, 932.59, 31.2826, 932.591, 31.2843
7, 0.00000, 770.313, 43.1445, 770.29, 43.1437, 770.298, 43.1457
8, 0.00000, 790.011, 42.6687, 789.988, 42.6679, 789.996, 42.6699
9, 0.00000, 819.77, 41.9987, 819.748, 41.9979, 819.755, 41.9998
10, 0.00000, 770.328, 43.1441, 770.306, 43.1433, 770.313, 43.1453
11, 0.00000, 721.414, 44.4529, 721.391, 44.4521, 721.399, 44.4542
12, 0.00000, 673.201, 45.9553, 673.178, 45.9545, 673.187, 45.9567
13, 0.00000, 740.886, 43.9085, 740.863, 43.9077, 740.871, 43.9097
14, 0.00000, 770.245, 43.146, 770.222, 43.1453, 770.23, 43.1472
15, 0.00000, 819.849, 41.9972, 819.827, 41.9965, 819.834, 41.9983
16, 0.00000, 869.946, 40.986, 869.925, 40.9853, 869.931, 40.9871
17, 0.00000, 704.008, 57.6179, 703.983, 57.6176, 703.997, 57.6195
18, 0.00000, 748.879, 55.4627, 748.854, 55.4623, 748.867, 55.4641
19, 0.00000, 776.43, 54.2896, 776.405, 54.2891, 776.418, 54.2909
20, 0.00000, 739.818, 55.8721, 739.793, 55.8717, 739.806, 55.8736
21, 0.00000, 660.516, 60.063, 660.491, 60.0627, 660.506, 60.0647
22, 0.00000, 819.896, 41.9963, 819.874, 41.9955, 819.881, 41.9974
23, 0.00000, 740.905, 43.9079, 740.882, 43.9072, 740.89, 43.9092
24, 0.00000, 673.203, 45.9552, 673.18, 45.9543, 673.189, 45.9566
25, 0.00000, 830.673, 32.1531, 830.654, 32.1521, 830.655, 32.154
26, 0.00000, 790.29, 32.5715, 790.27, 32.5704, 790.272, 32.5725
27, 0.00000, 750.046, 33.0409, 750.026, 33.0398, 750.029, 33.0419
28, 0.00000, 729.983, 33.2974, 729.963, 33.2962, 729.966, 33.2984
29, 0.00000, 830.677, 32.153, 830.657, 32.152, 830.659, 32.154
30, 0.00000, 932.609, 31.2835, 932.59, 31.2826, 932.591, 31.2843
31, 0.00000, 770.313, 43.1445, 770.29, 43.1437, 770.298, 43.1457
32, 0.00000, 790.011, 42.6687, 789.988, 42.6679, 789.996, 42.6699
33, 0.00000, 819.77, 41.9987, 819.748, 41.9979, 819.755, 41.9998
34, 0.00000, 770.328, 43.1441, 770.306, 43.1433, 770.313, 43.1453
35, 0.00000, 721.414, 44.4529, 721.391, 44.4521, 721.399, 44.4542
36, 0.00000, 673.201, 45.9553, 673.178, 45.9545, 673.187, 45.9567
37, 0.00000, 740.886, 43.9085, 740.863, 43.9077, 740.871, 43.9097
38, 0.00000, 770.245, 43.146, 770.222, 43.1453, 770.23, 43.1472
39, 0.00000, 819.849, 41.9972, 819.827, 41.9965, 819.834, 41.9983
40, 0.00000, 869.946, 40.986, 869.925, 40.9853, 869.931, 40.9871
41, 0.00000, 704.008, 57.6179, 703.983, 57.6176, 703.997, 57.6195
42, 0.00000, 748.879, 55.4627, 748.854, 55.4623, 748.867, 55.4641
43, 0.00000, 776.43, 54.2896, 776.405, 54.2891, 776.418, 54.2909
44, 0.00000, 739.818, 55.8721, 739.793, 55.8717, 739.806, 55.8736
45, 0.00000, 660.516, 60.063, 660.491, 60.0627, 660.506, 60.0647
46, 0.00000, 819.896, 41.9963, 819.874, 41.9955, 819.881, 41.9974
47, 0.00000, 740.905, 43.9079, 740.882, 43.9072, 740.89, 43.9092
48, 0.00000, 673.203, 45.9552, 673.18, 45.9543, 673.189, 45.9566
49, 0.00000, 830.673, 32.1531, 830.654, 32.1521, 830.655, 32.154
