hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
10, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
11, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
12, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
13, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
14, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
15, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
16, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
17, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
18, 0.00000, -326.268, 0.00154258, -326.268, 0.00154336, -326.268, 0.00154181, 0, 0
19, 0.00000, -326.266, -3.78006E-005, -326.266, -3.80694E-005, -326.266, -3.77945E-005, 0, 0
20, 0.00000, -326.267, 4.5057E-005, -326.267, 4.54001E-005, -326.267, 4.50543E-005, 0, 0
21, 0.00000, -326.267, 7.10952E-005, -326.267, 7.17842E-005, -326.267, 7.11186E-005, 0, 0
22, 0.00000, -326.267, 2.93732E-005, -326.267, 2.97305E-005, -326.267, 2.93958E-005, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 0.00000, 326.267, 0.00124269, 326.267, 0.00124295, 326.267, 0.0012421, 0, 0
26, 0.00000, 326.271, 0.00463768, 326.271, 0.00463376, 326.271, 0.00463397, 0, 0
27, 0.00000, 326.271, 0.00468105, 326.271, 0.00467723, 326.271, 0.0046773, 0, 0
28, 0.00000, 326.269, 0.00235045, 326.269, 0.00234857, 326.269, 0.00234857, 0, 0
29, 0.00000, 326.266, -0.000508569, 326.266, -0.000508155, 326.266, -0.000508048, 0, 0
30, 0.00000, 326.266, -0.000563885, 326.266, -0.000563361, 326.266, -0.000563324, 0, 0
31, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
32, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
33, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
34, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
35, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
36, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
37, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
38, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
39, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
40, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
41, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
42, 0.00000, -326.267, 0.001488, -326.267, 0.00148922, -326.267, 0.0014871, 0, 0
43, 0.00000, -326.266, -3.78518E-005, -326.266, -3.81208E-005, -326.266, -3.78457E-005, 0, 0
44, 0.00000, -326.267, 4.5057E-005, -326.267, 4.54001E-005, -326.267, 4.50543E-005, 0, 0
45, 0.00000, -326.267, 7.10952E-005, -326.267, 7.17842E-005, -326.267, 7.11186E-005, 0, 0
46, 0.00000, -326.267, 2.93732E-005, -326.267, 2.97305E-005, -326.267, 2.93958E-005, 0, 0
47, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
48, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
