hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 125.351, -31.16, 125.351, -151.16, 125.351, 88.8402, 0, 0, 2602.81, -31.1592, 2602.81, -151.159, 2602.8, 88.841, 0.0250716, 90.0281
2, 0.00000, 125.389, -31.1522, 125.389, -151.152, 125.389, 88.8479, 0, 0, 2602.08, -31.1531, 2602.08, -151.153, 2602.07, 88.8471, 0.0242415, 89.5713
3, 0.00000, 125.427, -31.1444, 125.427, -151.144, 125.427, 88.8557, 0, 0, 2601.29, -31.1452, 2601.29, -151.145, 2601.28, 88.8549, 0.023317, 89.1789
4, 0.00000, 125.446, -31.1405, 125.446, -151.14, 125.446, 88.8596, 0, 0, 2600.88, -31.1409, 2600.88, -151.141, 2600.87, 88.8592, 0.0228286, 88.9929
5, 0.00000, 125.35, -31.16, 125.35, -151.16, 125.351, 88.8401, 0, 0, 2602.83, -31.1599, 2602.83, -151.16, 2602.82, 88.8402, 0.025105, 89.977
6, 0.00000, 125.254, -31.1795, 125.254, -151.179, 125.255, 88.8207, 0, 0, 2604.83, -31.1794, 2604.83, -151.179, 2604.81, 88.8208, 0.0274467, 90.8019
7, 0.00000, 126.23, -30.0735, 126.23, -150.073, 126.23, 89.9265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 126.211, -30.077, 126.211, -150.077, 126.211, 89.923, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 126.182, -30.0824, 126.182, -150.082, 126.182, 89.9177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 0.00000, 126.23, -30.0735, 126.23, -150.073, 126.23, 89.9265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 0.00000, 126.278, -30.0646, 126.278, -150.064, 126.278, 89.9354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 0.00000, 126.326, -30.0557, 126.326, -150.056, 126.326, 89.9443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 0.00000, 126.259, -30.0682, 126.259, -150.068, 126.259, 89.9319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14, 0.00000, 126.23, -30.0735, 126.23, -150.073, 126.23, 89.9266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 0.00000, 126.182, -30.0824, 126.182, -150.082, 126.182, 89.9177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 0.00000, 126.133, -30.0912, 126.133, -150.091, 126.134, 89.9088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 0.00000, 127.094, -28.9907, 127.094, -148.991, 127.094, 91.0092, 0, 0, 2567.14, 151.01, 2567.13, 31.0096, 2567.13, -88.9906, 0.00927658, -12.1757
18, 0.00000, 127.045, -28.9987, 127.046, -148.999, 127.046, 91.0012, 0, 0, 2568.11, 151.001, 2568.1, 31.0013, 2568.1, -88.9988, 0.00985117, -18.0953
19, 0.00000, 127.016, -29.0035, 127.017, -149.003, 127.017, 90.9964, 0, 0, 2568.7, 150.996, 2568.69, 30.9965, 2568.69, -89.0036, 0.0102585, -21.3519
20, 0.00000, 127.055, -28.9971, 127.055, -148.997, 127.055, 91.0028, 0, 0, 2567.92, 151.003, 2567.91, 31.0029, 2567.91, -88.9972, 0.0097316, -17.0083
21, 0.00000, 126.133, -30.0912, 126.133, -150.091, 126.134, 89.9088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 126.182, -30.0824, 126.182, -150.082, 126.182, 89.9177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 126.259, -30.0682, 126.259, -150.068, 126.259, 89.9319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 126.326, -30.0557, 126.326, -150.056, 126.326, 89.9443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25, 0.00000, 125.35, -31.16, 125.351, -151.16, 125.351, 88.8401, 0, 0, 2602.83, -31.1601, 2602.83, -151.16, 2602.82, 88.84, 0.0251035, 89.9604
26, 0.00000, 125.389, -31.1522, 125.389, -151.152, 125.389, 88.8479, 0, 0, 2602.08, -31.1531, 2602.08, -151.153, 2602.07, 88.8471, 0.0242415, 89.5713
27, 0.00000, 125.427, -31.1444, 125.427, -151.144, 125.427, 88.8557, 0, 0, 2601.29, -31.1452, 2601.29, -151.145, 2601.28, 88.8549, 0.023317, 89.1789
28, 0.00000, 125.446, -31.1405, 125.446, -151.14, 125.446, 88.8596, 0, 0, 2600.88, -31.1409, 2600.88, -151.141, 2600.87, 88.8592, 0.0228286, 88.9929
29, 0.00000, 125.35, -31.16, 125.35, -151.16, 125.351, 88.8401, 0, 0, 2602.83, -31.1599, 2602.83, -151.16, 2602.82, 88.8402, 0.025105, 89.977
30, 0.00000, 125.254, -31.1795, 125.254, -151.179, 125.255, 88.8207, 0, 0, 2604.83, -31.1794, 2604.83, -151.179, 2604.81, 88.8208, 0.0274467, 90.8019
31, 0.00000, 126.23, -30.0735, 126.23, -150.073, 126.23, 89.9265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32, 0.00000, 126.211, -30.077, 126.211, -150.077, 126.211, 89.923, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, 0.00000, 126.182, -30.0824, 126.182, -150.082, 126.182, 89.9177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34, 0.00000, 126.23, -30.0735, 126.23, -150.073, 126.23, 89.9265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
35, 0.00000, 126.278, -30.0646, 126.278, -150.064, 126.278, 89.9354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36, 0.00000, 126.326, -30.0557, 126.326, -150.056, 126.326, 89.9443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, 0.00000, 126.259, -30.0682, 126.259, -150.068, 126.259, 89.9319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
38, 0.00000, 126.23, -30.0735, 126.23, -150.073, 126.23, 89.9266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
39, 0.00000, 126.182, -30.0824, 126.182, -150.082, 126.182, 89.9177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40, 0.00000, 126.133, -30.0912, 126.133, -150.091, 126.134, 89.9088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41, 0.00000, 127.094, -28.9907, 127.094, -148.991, 127.094, 91.0092, 0, 0, 2567.14, 151.01, 2567.13, 31.0096, 2567.13, -88.9906, 0.00927658, -12.1757
42, 0.00000, 127.045, -28.9987, 127.046, -148.999, 127.046, 91.0012, 0, 0, 2568.11, 151.001, 2568.1, 31.0013, 2568.1, -88.9988, 0.00985117, -18.0953
43, 0.00000, 127.016, -29.0035, 127.017, -149.003, 127.017, 90.9964, 0, 0, 2568.7, 150.996, 2568.69, 30.9965, 2568.69, -89.0036, 0.0102585, -21.3519
44, 0.00000, 127.055, -28.9971, 127.055, -148.997, 127.055, 91.0028, 0, 0, 2567.92, 151.003, 2567.91, 31.0029, 2567.91, -88.9972, 0.0097316, -17.0083
45, 0.00000, 127.142, -28.9827, 127.142, -148.983, 127.142, 91.0172, 0, 0, 2566.17, 151.017, 2566.16, 31.0173, 2566.16, -88.9828, 0.00879216, -5.53508
46, 0.00000, 126.182, -30.0824, 126.182, -150.082, 126.182, 89.9177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
47, 0.00000, 126.259, -30.0682, 126.259, -150.068, 126.259, 89.9319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, 0.00000, 126.326, -30.0557, 126.326, -150.056, 126.326, 89.9443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
